Data,Casos,Casos por dia,Óbitos por dia
26/jul./2020,483982,4501,89
27/jul./2020,487654,3672,70
28/jul./2020,500301,12647,383
29/jul./2020,514197,13896,330
30/jul./2020,529006,14809,321
31/jul./2020,542304,13298,287
01/ago./2020,552318,10014,239
02/ago./2020,558685,6367,81
03/ago./2020,560218,1533,48
04/ago./2020,575589,15371,337
05/ago./2020,585265,9676,407
06/ago./2020,598670,13405,339
07/ago./2020,608379,9709,287
08/ago./2020,621731,13352,281
09/ago./2020,627126,5395,98
10/ago./2020,628415,1289,37
11/ago./2020,639562,11147,420
12/ago./2020,655181,15619,298
13/ago./2020,674455,19274,455
14/ago./2020,686122,11667,289
15/ago./2020,697530,11408,167
16/ago./2020,699493,1963,72
17/ago./2020,702665,3172,47
18/ago./2020,711530,8865,416
19/ago./2020,721377,9847,276
20/ago./2020,730828,9451,314
21/ago./2020,735960,5132,250
22/ago./2020,749244,13284,237
23/ago./2020,754129,4885,75
24/ago./2020,756480,2351,38
25/ago./2020,765670,9190,407
26/ago./2020,776135,10465,282
27/ago./2020,784453,8318,221
28/ago./2020,796209,11756,279
29/ago./2020,801422,5213,250
30/ago./2020,803404,1982,34
31/ago./2020,804342,938,36
01/set./2020,814375,10033,361
02/set./2020,826331,11956,298
03/set./2020,837978,11647,232
04/set./2020,845016,7038,186
05/set./2020,853085,8069,222
06/set./2020,855722,2637,40
07/set./2020,857330,1608,24
08/set./2020,858783,1453,53
09/set./2020,866576,7793,391
10/set./2020,874754,8178,283
11/set./2020,882809,8055,234
12/set./2020,890690,7881,229
13/set./2020,892257,1567,39
14/set./2020,893349,1092,36
15/set./2020,901271,7922,321
16/set./2020,909428,8157,290
17/set./2020,916821,7393,219
18/set./2020,924532,7711,206
19/set./2020,931673,7141,249
20/set./2020,935300,3627,25
21/set./2020,937332,2032,32
22/set./2020,945422,8090,282
23/set./2020,951973,6551,226
24/set./2020,958240,6267,185
25/set./2020,964921,6681,200
26/set./2020,970888,5967,186
27/set./2020,972237,1349,45
28/set./2020,973142,905,17
29/set./2020,979519,6377,266
30/set./2020,985628,6109,231
01/out./2020,991725,6097,182
02/out./2020,997333,5608,152
03/out./2020,1003429,6096,180
04/out./2020,1003902,473,42
05/out./2020,1004579,677,42
06/out./2020,1010839,6260,270
07/out./2020,1016755,5916,179
08/out./2020,1022404,5649,215
09/out./2020,1028190,5786,184
10/out./2020,1034816,6626,155
11/out./2020,1037660,2844,33
12/out./2020,1038344,684,23
13/out./2020,1039029,685,35
14/out./2020,1045060,6031,227
15/out./2020,1051613,6553,149
16/out./2020,1057240,5627,180
17/out./2020,1062634,5394,122
18/out./2020,1063602,968,28
19/out./2020,1064039,437,15
20/out./2020,1068962,4923,211
21/out./2020,1073261,4299,125
22/out./2020,1076939,3678,111
23/out./2020,1083641,6702,126
24/out./2020,1089255,5614,118
25/out./2020,1091980,2725,21
26/out./2020,1092843,863,6
27/out./2020,1098207,5364,132
28/out./2020,1103582,5375,122
29/out./2020,1108860,5278,112
30/out./2020,1113788,4928,136
31/out./2020,1116127,2339,56
01/nov./2020,1117147,1020,20
02/nov./2020,1117795,648,15
03/nov./2020,1118544,749,18
04/nov./2020,1123299,4755,185
05/nov./2020,1125936,2637,168
06/nov./2020,1125936,0,0
07/nov./2020,1125936,0,0
08/nov./2020,1125936,0,0
09/nov./2020,1125936,0,0
10/nov./2020,1147451,21515,0
11/nov./2020,1150872,3421,190
12/nov./2020,1156652,5780,295
13/nov./2020,1162782,6130,0
14/nov./2020,1167422,4640,347
15/nov./2020,1168640,1218,15
16/nov./2020,1169377,737,12
17/nov./2020,1178075,8698,173
18/nov./2020,1184496,6421,178
19/nov./2020,1191290,6794,147
20/nov./2020,1200348,9058,105
21/nov./2020,1205435,5087,77
22/nov./2020,1209588,4153,11
23/nov./2020,1210625,1037,9
24/nov./2020,1215844,5219,179
25/nov./2020,1224744,8900,146
26/nov./2020,1229267,4523,172
27/nov./2020,1233587,4320,129
28/nov./2020,1238094,4507,146
29/nov./2020,1240473,2379,28
30/nov./2020,1241653,1180,19
01/dez./2020,1250590,8937,195
02/dez./2020,1259704,9114,166
03/dez./2020,1267912,8208,181
04/dez./2020,1276149,8237,151
05/dez./2020,1285087,8938,181
06/dez./2020,1287762,2675,46
07/dez./2020,1288878,1116,25
08/dez./2020,1296801,7923,242
09/dez./2020,1306585,9784,179
10/dez./2020,1316371,9786,200
11/dez./2020,1325162,8791,141
12/dez./2020,1333763,8601,169
13/dez./2020,1334703,940,47
14/dez./2020,1337016,2313,32
15/dez./2020,1341428,4412,232
16/dez./2020,1341428,0,0
17/dez./2020,1361731,20303,399
18/dez./2020,1371653,9922,197
19/dez./2020,1384100,12447,151
20/dez./2020,1384100,0,0
21/dez./2020,1388043,3943,107
22/dez./2020,1398757,10714,259
23/dez./2020,1409140,10383,181
24/dez./2020,1418491,9351,182
25/dez./2020,1422087,3596,37
26/dez./2020,1423340,1253,13
27/dez./2020,1426176,2836,55
28/dez./2020,1427752,1576,39
29/dez./2020,1440229,12477,293
30/dez./2020,1452078,11849,282
31/dez./2020,1462297,10219,240
01/jan./2021,1466191,3894,58
02/jan./2021,1467953,1762,33
03/jan./2021,1471422,3469,37
04/jan./2021,1473670,2248,43
05/jan./2021,1486551,12881,334
06/jan./2021,1501085,14534,289
07/jan./2021,1515158,14073,257
08/jan./2021,1528952,13794,261
09/jan./2021,1540513,11561,269
10/jan./2021,1546132,5619,53
11/jan./2021,1549142,3010,28
12/jan./2021,1561844,12702,283
13/jan./2021,1577119,15275,323
14/jan./2021,1590829,13710,304
15/jan./2021,1605845,15016,311
16/jan./2021,1619619,13774,285
17/jan./2021,1625339,5720,60
18/jan./2021,1628272,2933,42
19/jan./2021,1644225,15953,331
20/jan./2021,1658636,14411,334
21/jan./2021,1670754,12118,286
22/jan./2021,1679759,9005,254
23/jan./2021,1694355,14596,231
24/jan./2021,1699427,5072,79
25/jan./2021,1702294,2867,54
26/jan./2021,1715253,12959,282
27/jan./2021,1731294,16041,332
28/jan./2021,1746070,14776,311
29/jan./2021,1759957,13887,241
30/jan./2021,1773024,13067,232
31/jan./2021,1777368,4344,80
01/fev./2021,1779722,2354,56
02/fev./2021,1794019,14297,365
03/fev./2021,1807009,12990,249
04/fev./2021,1820941,13932,293
05/fev./2021,1833163,12222,327
06/fev./2021,1845086,11923,221
07/fev./2021,1849334,4248,69
08/fev./2021,1851776,2442,49
09/fev./2021,1864977,13201,424
10/fev./2021,1878802,13825,332
11/fev./2021,1889969,11167,323
12/fev./2021,1901574,11605,229
13/fev./2021,1911411,9837,220
14/fev./2021,1913598,2187,75
15/fev./2021,1915914,2316,38
16/fev./2021,1927410,11496,398
17/fev./2021,1938712,11302,258
18/fev./2021,1949459,10747,280
19/fev./2021,1960564,11105,259
20/fev./2021,1971423,10859,244
21/fev./2021,1975927,4504,56
22/fev./2021,1978477,2550,43
23/fev./2021,1990554,12077,357
24/fev./2021,2002640,12086,329
25/fev./2021,2014529,11889,345
26/fev./2021,2026125,11596,256
27/fev./2021,2037267,11142,299
28/fev./2021,2041628,4361,65
01/mar./2021,2044699,3071,53
02/mar./2021,2054867,10168,468
03/mar./2021,2068616,13749,367
04/mar./2021,2080852,12236,313
05/mar./2021,2093924,13072,370
06/mar./2021,2107687,13763,353
07/mar./2021,2113738,6051,46
08/mar./2021,2117962,4224,121
09/mar./2021,2134020,16058,517
10/mar./2021,2149561,15541,469
11/mar./2021,2164066,14505,440
12/mar./2021,2179786,15720,521
13/mar./2021,2195130,15344,434
14/mar./2021,2202983,7853,158
15/mar./2021,2208242,5259,100
16/mar./2021,2225926,17684,679
17/mar./2021,2243868,17942,617
18/mar./2021,2261360,17492,659
19/mar./2021,2280033,18673,620
20/mar./2021,2298061,18028,616
21/mar./2021,2306326,8265,144
22/mar./2021,2311101,4775,44
23/mar./2021,2332043,20942,1021
24/mar./2021,2352438,20395,281
25/mar./2021,2370885,18447,599
26/mar./2021,2392374,21489,1193
27/mar./2021,2410498,18124,1051
28/mar./2021,2420100,9602,244
29/mar./2021,2425320,5220,292
30/mar./2021,2446680,21360,1209
31/mar./2021,2469849,23169,1160
01/abr./2021,2496416,26567,1082
02/abr./2021,2513178,16762,818
03/abr./2021,2520204,7026,198
04/abr./2021,2527400,7196,270
05/abr./2021,2532047,4647,145
06/abr./2021,2554841,22794,1389
07/abr./2021,2576362,21521,889
08/abr./2021,2597366,21004,1299
09/abr./2021,2618067,20701,1008
10/abr./2021,2635378,17311,657
11/abr./2021,2643534,8156,510
12/abr./2021,2648844,5310,181
13/abr./2021,2667241,18397,1282
14/abr./2021,2686031,18790,1095
15/abr./2021,2704098,18067,1060
16/abr./2021,2722077,17979,791
17/abr./2021,2739823,17746,771
18/abr./2021,2746217,6394,253
19/abr./2021,2750300,4083,178
20/abr./2021,2769360,19060,1122
21/abr./2021,2786483,17123,977
22/abr./2021,2793750,7267,183
23/abr./2021,2811562,17812,863
24/abr./2021,2827833,16271,875
25/abr./2021,2834321,6488,145
26/abr./2021,2838233,3912,105
27/abr./2021,2856225,17992,1044
28/abr./2021,2873238,17013,814
29/abr./2021,2888158,14920,876
30/abr./2021,2903709,15551,659
01/mai./2021,2918044,14335,750
02/mai./2021,2923367,5323,117
03/mai./2021,2926516,3149,114
04/mai./2021,2941980,15464,849
05/mai./2021,2956210,14230,689
06/mai./2021,2969680,13470,696
07/mai./2021,2984182,14502,583
08/mai./2021,2997282,13100,660
09/mai./2021,3003067,5785,150
10/mai./2021,3006250,3183,55
11/mai./2021,3022568,16318,806
12/mai./2021,3038240,15672,696
13/mai./2021,3053889,15649,578
14/mai./2021,3069804,15915,559
15/mai./2021,3085290,15486,502
16/mai./2021,3092844,7554,224
17/mai./2021,3096845,4001,76
