Data,Casos,Casos por dia,Óbitos por dia
27/06/2022,5687485,2071,7
28/06/2022,5697370,9885,122
29/06/2022,5707821,10451,81
30/06/2022,5718492,10671,90
01/07/2022,5729407,10915,87
02/07/2022,5738245,8838,61
03/07/2022,5741923,3678,10
04/07/2022,5743583,1660,7
05/07/2022,5754078,10495,136
06/07/2022,5765003,10925,98
07/07/2022,5775223,10220,89
08/07/2022,5784777,9554,83
09/07/2022,5794001,9224,84
10/07/2022,5797625,3624,7
11/07/2022,5798700,1075,2
12/07/2022,5808459,9759,124
13/07/2022,5817223,8764,82
14/07/2022,5825833,8610,74
15/07/2022,5833620,7787,108
16/07/2022,5841003,7383,88
17/07/2022,5842570,1567,10
18/07/2022,5843458,888,17
19/07/2022,5852960,9502,111
20/07/2022,5861263,8303,92
21/07/2022,5867871,6608,87
22/07/2022,5874616,6745,95
23/07/2022,5880733,6117,77
24/07/2022,5882959,2226,8
25/07/2022,5883611,652,11
26/07/2022,5890763,7152,99
27/07/2022,5897859,7096,73
28/07/2022,5904845,6986,89
29/07/2022,5911552,6707,71
30/07/2022,5917268,5716,48
31/07/2022,5919446,2178,9
01/08/2022,5920259,813,3
02/08/2022,5927119,6860,89
03/08/2022,5933089,5970,66
04/08/2022,5938736,5647,58
05/08/2022,5944141,5405,77
06/08/2022,5948320,4179,79
07/08/2022,5949473,1153,22
08/08/2022,5950313,840,8
09/08/2022,5955410,5097,72
10/08/2022,5960782,5372,66
11/08/2022,5965286,4504,39
12/08/2022,5968917,3631,44
13/08/2022,5973090,4173,71
14/08/2022,5973904,814,14
15/08/2022,5974191,287,16
16/08/2022,5979460,5269,53
17/08/2022,5984410,4950,70
18/08/2022,5989405,4995,48
19/08/2022,5993376,3971,33
20/08/2022,5997822,4446,46
21/08/2022,5999264,1442,2
22/08/2022,5999806,542,3
23/08/2022,6004283,4477,56
24/08/2022,6008751,4468,16
25/08/2022,6013105,4354,24
26/08/2022,6016839,3734,28
27/08/2022,6020485,3646,21
28/08/2022,6021118,633,5
29/08/2022,6021735,617,6
30/08/2022,6026158,4423,44
31/08/2022,6030546,4388,36
01/09/2022,6033960,3414,44
02/09/2022,6037128,3168,35
03/09/2022,6039943,2815,33
04/09/2022,6040654,711,0
05/09/2022,6041109,455,0
06/09/2022,6045123,4014,21
07/09/2022,6048231,3108,10
08/09/2022,6048691,460,2
09/09/2022,6051911,3220,21
10/09/2022,6055094,3183,19
11/09/2022,6055708,614,1
12/09/2022,6056142,434,3
13/09/2022,6059011,2869,29
14/09/2022,6062958,3947,26
15/09/2022,6065920,2962,16
16/09/2022,6068932,3012,42
17/09/2022,6070983,2051,31
18/09/2022,6071578,595,1
19/09/2022,6072244,666,2
20/09/2022,6074855,2611,19
21/09/2022,6076896,2041,21
22/09/2022,6079235,2339,32
23/09/2022,6081683,2448,26
24/09/2022,6084326,2643,0
25/09/2022,6084604,278,10
26/09/2022,6084812,208,1
27/09/2022,6087468,2656,0
28/09/2022,6089888,2420,0
29/09/2022,6092896,3008,0
30/09/2022,6096112,3216,0
01/10/2022,6099193,3081,191
02/10/2022,6099539,346,59
03/10/2022,6099661,122,2
04/10/2022,6102630,2969,57
05/10/2022,6105805,3175,63
06/10/2022,6108335,2530,73
07/10/2022,6110305,1970,43
08/10/2022,6112706,2401,22
09/10/2022,6112986,280,7
10/10/2022,6113201,215,2
11/10/2022,6115707,2506,29
12/10/2022,6118349,2642,50
13/10/2022,6118357,8,20
14/10/2022,6120384,2027,30
15/10/2022,6122233,1849,0
16/10/2022,6122233,0,0
17/10/2022,6122754,521,35
18/10/2022,6124591,1837,47
19/10/2022,6126367,1776,37
20/10/2022,6126367,0,0
21/10/2022,6126367,0,0
22/10/2022,6131859,5492,49
23/10/2022,6132040,181,9
24/10/2022,6132167,127,5
25/10/2022,6134532,2365,17
26/10/2022,6137710,3178,28
27/10/2022,6140622,2912,25
28/10/2022,6142723,2101,37
29/10/2022,6143284,561,11
30/10/2022,6143450,166,1
31/10/2022,6143549,99,1
01/11/2022,6145825,2276,20
02/11/2022,6148412,2587,24
03/11/2022,6148633,221,4
04/11/2022,6149046,413,38
05/11/2022,6149503,457,25
06/11/2022,6149526,23,4
07/11/2022,6149751,225,4
08/11/2022,6152212,2461,58
09/11/2022,6155013,2801,56
10/11/2022,6157150,2137,17
11/11/2022,6160930,3780,21
12/11/2022,6162777,1847,25
13/11/2022,6163041,264,0
14/11/2022,6163190,149,1
15/11/2022,6163550,360,12
16/11/2022,6163619,69,12
17/11/2022,6167559,3940,37
18/11/2022,6170605,3046,29
19/11/2022,6173439,2834,25
20/11/2022,6174162,723,0
21/11/2022,6174201,39,26
22/11/2022,6174756,555,45
23/11/2022,6177577,2821,37
24/11/2022,6182046,4469,28
25/11/2022,6185851,3805,31
26/11/2022,6189988,4137,27
27/11/2022,6190033,45,2
28/11/2022,6190045,12,3
29/11/2022,6190288,243,34
30/11/2022,6190519,231,50
01/12/2022,6192819,2300,49
02/12/2022,6197738,4919,58
03/12/2022,6202864,5126,54
04/12/2022,6203952,1088,2
05/12/2022,6204502,550,5
06/12/2022,6209209,4707,48
07/12/2022,6215290,6081,39
08/12/2022,6221071,5781,59
09/12/2022,6226103,5032,39
10/12/2022,6228454,2351,26
11/12/2022,6229656,1202,2
12/12/2022,6230070,414,1
13/12/2022,6236690,6620,0
14/12/2022,6241703,5013,138
15/12/2022,6247608,5905,55
16/12/2022,6255162,7554,52
17/12/2022,6260732,5570,0
18/12/2022,6262091,1359,0
19/12/2022,6262584,493,50
20/12/2022,6269639,7055,56
21/12/2022,6276621,6982,89
22/12/2022,6283309,6688,49
23/12/2022,6289137,5828,52
24/12/2022,6293070,3933,32
25/12/2022,6293351,281,9
26/12/2022,6293494,143,0
27/12/2022,6297799,4305,0
28/12/2022,6303911,6112,118
29/12/2022,6310364,6453,42
30/12/2022,6315333,4969,38
31/12/2022,6317252,1919,24
01/01/2023,6317252,0,0
02/01/2023,6317683,431,4
03/01/2023,6321788,4105,48
04/01/2023,6327470,5682,85
05/01/2023,6333749,6279,43
06/01/2023,6339283,5534,78
07/01/2023,6344329,5046,45
08/01/2023,6345649,1320,2
09/01/2023,6346096,447,0
10/01/2023,6352526,6430,0
11/01/2023,6357566,5040,0
12/01/2023,6362607,5041,0
13/01/2023,6367148,4541,0
14/01/2023,6371047,3899,0
15/01/2023,6371784,737,0
16/01/2023,6372201,417,0
17/01/2023,6377010,4809,0
18/01/2023,6380851,3841,0
19/01/2023,6385729,4878,409
20/01/2023,6389460,3731,29
21/01/2023,6393124,3664,0
22/01/2023,6393576,452,0
23/01/2023,6393836,260,0
24/01/2023,6398150,4314,94
25/01/2023,6401428,3278,47
26/01/2023,6403854,2426,29
27/01/2023,6406623,2769,0
28/01/2023,6409106,2483,73
29/01/2023,6409564,458,3
30/01/2023,6409826,262,4
31/01/2023,6412507,2681,47
01/02/2023,6415059,2552,57
02/02/2023,6417480,2421,33
03/02/2023,6419637,2157,43
04/02/2023,6421664,2027,24
05/02/2023,6421693,29,5
06/02/2023,6422005,312,3
07/02/2023,6424346,2341,29
08/02/2023,6426265,1919,37
09/02/2023,6428812,2547,17
10/02/2023,6431045,2233,15
11/02/2023,6432834,1789,10
12/02/2023,6433591,757,0
13/02/2023,6433698,107,0
14/02/2023,6435948,2250,31
15/02/2023,6438737,2789,22
16/02/2023,6441519,2782,23
17/02/2023,6444454,2935,16
18/02/2023,6446939,2485,12
19/02/2023,6447344,405,2
20/02/2023,6447344,0,0
21/02/2023,6447344,0,0
22/02/2023,6448208,864,4
23/02/2023,6449802,1594,14
24/02/2023,6452475,2673,43
25/02/2023,6455277,2802,40
26/02/2023,6456516,1239,1
27/02/2023,6457756,1240,1
28/02/2023,6461165,3409,36
01/03/2023,6464309,3144,20
02/03/2023,6466727,2418,19
03/03/2023,6469442,2715,7
04/03/2023,6472919,3477,18
05/03/2023,6473980,1061,0
06/03/2023,6474451,471,0
07/03/2023,6477674,3223,23
08/03/2023,6480229,2555,17
09/03/2023,6482944,2715,17
10/03/2023,6485598,2654,33
11/03/2023,6488320,2722,23
12/03/2023,6489387,1067,5
13/03/2023,6489495,108,1
14/03/2023,6493357,3862,35
15/03/2023,6497099,3742,11
16/03/2023,6500311,3212,18
17/03/2023,6503378,3067,30
18/03/2023,6503378,0,0
19/03/2023,6506285,2907,20
20/03/2023,6506738,453,7
21/03/2023,6509969,3231,25
22/03/2023,6512736,2767,29
23/03/2023,6516663,3927,21
24/03/2023,6521550,4887,16
25/03/2023,6521550,0,0
26/03/2023,6521550,0,0
27/03/2023,6521550,0,0
28/03/2023,6530195,8645,56
29/03/2023,6535229,5034,29
30/03/2023,6539029,3800,17
31/03/2023,6541097,2068,39
01/04/2023,6541097,0,0
02/04/2023,6542867,1770,22
03/04/2023,6542933,66,1
04/04/2023,6545130,2197,23
05/04/2023,6547244,2114,24
06/04/2023,6548698,1454,21
07/04/2023,6548698,0,0
08/04/2023,6549523,825,10
09/04/2023,6549928,405,0
10/04/2023,6550062,134,2
11/04/2023,6551949,1887,32
12/04/2023,6553833,1884,26
13/04/2023,6553833,0,0
14/04/2023,6557299,3466,47
15/04/2023,6557299,0,0
16/04/2023,6557299,0,0
17/04/2023,6562226,4927,33
18/04/2023,6564440,2214,20
19/04/2023,6566485,2045,16
20/04/2023,6568735,2250,20
21/04/2023,6571274,2539,23
22/04/2023,6571274,0,0
23/04/2023,6571274,0,0
24/04/2023,6574424,3150,4
25/04/2023,6576338,1914,20
26/04/2023,6578136,1798,14
27/04/2023,6580022,1886,7
28/04/2023,6581462,1440,22
29/04/2023,6581462,0,0
30/04/2023,6583030,1568,16
01/05/2023,6583468,438,1
02/05/2023,6583827,359,3
03/05/2023,6585658,1831,23
04/05/2023,6587387,1729,16
05/05/2023,6589278,1891,16
06/05/2023,6589278,0,0
07/05/2023,6591578,2300,18
08/05/2023,6592029,451,1
09/05/2023,6592029,0,0
10/05/2023,6596435,4406,39
11/05/2023,6598840,2405,18
12/05/2023,6600625,1785,27
13/05/2023,6600625,0,0
14/05/2023,6602337,1712,19
15/05/2023,6603627,1290,1
16/05/2023,6604978,1351,10
17/05/2023,6605778,800,14
18/05/2023,6607254,1476,13
19/05/2023,6608242,988,13
20/05/2023,6608242,0,0
21/05/2023,6609262,1020,29
22/05/2023,6609389,127,6
23/05/2023,6610481,1092,24
24/05/2023,6611093,612,8
25/05/2023,6611779,686,8
26/05/2023,6612612,833,14
27/05/2023,6612612,0,0
28/05/2023,6613905,1293,14
29/05/2023,6614072,167,0
30/05/2023,6615893,1821,12
31/05/2023,6617319,1426,16
01/06/2023,6618185,866,9
02/06/2023,6618980,795,22
03/06/2023,6618980,0,0
04/06/2023,6619871,891,11
05/06/2023,6619936,65,6
06/06/2023,6621112,1176,25
07/06/2023,6621112,0,0
08/06/2023,6621112,0,0
09/06/2023,6621112,0,0
10/06/2023,6621112,0,0
11/06/2023,6622966,1854,39
12/06/2023,6623024,58,4
13/06/2023,6623024,0,0
14/06/2023,6624059,1035,31
15/06/2023,6624607,548,15
16/06/2023,6624607,0,0
17/06/2023,6625304,697,6
18/06/2023,6625939,635,15
19/06/2023,6625993,54,6
20/06/2023,6626530,537,25
21/06/2023,6627205,675,9
22/06/2023,6627847,642,28
23/06/2023,6628589,742,25
24/06/2023,6629005,416,16
25/06/2023,6629005,0,0
26/06/2023,6629135,130,9
27/06/2023,6629879,744,16
28/06/2023,6630825,946,14
29/06/2023,6631508,683,35
